Условный проход;Диаметр;Толщина стенки;Вес
10;17.2;2;0.888
15;21.3;2;0.888
20;26.9;2;1.18
25;33.7;2.5;1.82
32;42.4;2;1.78
40;48.3;2.5;2.62
50;60.3;3;4
65;76.1;3.5;6.26
80;88.9;3.5;7.38
90;101.6;4;9.67
100;114.3;4;10.26
125;139.7;4;12.72
150;168.3;4.5;17.15
160;177.8;4;17.36
175;196.7;4;18.71
200;219.1;6;31.52
225;244.5;6;39.51
250;273;6;39.51
300;323.9;6;47.2
400;406.4;6;62.15
500;508;7;90.28
600;609.6;7;107.55
800;812.8;8;140.47
1000;1016;8;160.2
1200;1219.2;10;249.07
