Условный проход;Диаметр;Толщина стенки;Вес
6;10.2;2;0.4
8;13.5;2.2;0.61
10;17;2.2;0.8
15;21.3;2.8;1.28
20;26.8;2.8;1.66
25;33.5;3.2;2.39
32;42.3;3.2;3.09
40;48;3.5;3.84
50;57;3;4
65;76;4;7.1
80;89;4;8.39
100;108;4;10.26
125;133;5;15.78
150;159;5;18.99
200;219;6;31.52
250;273;8;52.28
300;325;8;62.54
350;377;9;81.68
400;426;9;92.56
500;530;9;115.64
600;630;10;152.9
700;720;10;175.09
800;820;10;199.75
1000;1020;12;298.29
1200;1220;12;357.47
1400;1420;14;485.41
