op_DN	op_type	op_h	op_h1	op_h2	op_L	op_B	op_S	op_B1	op_l	op_masseffect	op_Qy	op_Px (Pz)	op_Px(0.5Pz)
820	À23	150	175	140	680	300	8	0	0	38.8	200	165	210
820	Á22	150	175	0	340	300	8	350	70	24.8	200	115	150
820	Á23	150	175	140	680	300	8	350	70	42.3	200	165	210
1020	À12	100	161	0	340	500	8	0	0	27.6	340	149	175
1020	À13	100	161	90	680	500	8	0	0	49.3	340	200	250
1020	Á12	100	161	0	340	500	8	560	120	37.3	340	140	175
1020	Á13	100	161	90	680	500	8	560	120	59	340	200	250
1020	À22	150	211	0	340	500	8	0	0	33.3	340	130	165
1020	À23	150	211	140	680	500	8	0	0	59	340	185	235
1020	Á22	150	211	0	340	500	8	560	120	43	340	130	165
1020	Á23	150	211	140	680	500	8	560	120	68.7	340	185	235
1220	À12	100	150	0	340	500	8	0	0	26.8	400	140	175
1220	À13	100	150	90	680	500	8	0	0	47.9	400	200	250
1220	Á12	100	150	0	340	500	8	560	120	36.4	400	140	175
1220	Á13	100	150	90	680	500	8	560	120	57.5	400	200	250
1220	À22	150	200	0	340	500	8	0	0	32.5	400	130	165
1220	À23	150	200	140	680	500	8	0	0	57.6	400	185	235
1220	Á22	150	200	0	340	500	8	560	120	42.1	400	130	165
1220	Á23	150	200	140	680	500	8	560	120	67.2	400	185	235
1420	À12	100	142	0	340	500	10	0	0	32.5	450	150	190
1420	À13	100	142	90	680	500	10	0	0	58.2	450	210	270
1420	Á12	100	142	0	340	500	10	560	120	44.3	450	150	190
1420	Á13	100	142	90	680	500	10	560	120	70	450	210	270
1420	À22	150	192	0	340	500	10	0	0	39.5	450	140	180
1420	À23	150	192	140	680	500	10	0	0	70.3	450	200	250
1420	Á22	150	192	0	340	500	10	560	120	51.3	450	140	180
1420	Á23	150	192	140	680	500	10	560	120	82.1	450	200	250
