Условный проход;Диаметр;Толщина стенки;Вес
10;16;2;0.888
15;20;2;0.888
20;26;2;1.18
25;32;2.5;1.82
32;38;2;1.78
40;45;2.5;2.62
50;57;3;4
65;76;3.5;6.26
80;89;3.5;7.38
90;102;4;9.67
100;108;4;10.26
125;133;4;12.72
150;159;4.5;17.15
160;180;4;17.36
175;193.7;4;18.71
200;219;6;31.52
225;245;6;39.51
250;273;6;39.51
300;325;6;47.2
400;426;6;62.15
500;530;7;90.28
600;630;7;107.55
700;720;8;140.47
800;820;8;160.2
1000;1020;10;249.07
1200;1220;10;298.4
