ГОСТ 10704-91;Труба электросварная прямошовная;Вес;D;s
159;33.7x2;1.56;33.7;2
160;33.7x2.2;1.71;33.7;2.2
161;33.7x2.5;1.92;33.7;2.5
162;33.7x2.8;2.13;33.7;2.8
163;33.7x3;2.27;33.7;3
164;35x1.2;1;35;1.2
165;35x1.4;1.16;35;1.4
166;35x1.5;1.24;35;1.5
167;35x1.6;1.32;35;1.6
168;35x1.8;1.47;35;1.8
169;35x2;1.63;35;2
170;35x2.2;1.78;35;2.2
171;35x2.5;2;35;2.5
172;35x2.8;2.22;35;2.8
173;35x3;2.37;35;3
174;36x1.2;1.03;36;1.2
175;36x1.4;1.19;36;1.4
176;36x1.5;1.28;36;1.5
177;36x1.6;1.36;36;1.6
178;36x1.8;1.52;36;1.8
179;36x2;1.68;36;2
180;36x2.2;1.83;36;2.2
181;36x2.5;2.07;36;2.5
182;36x2.8;2.29;36;2.8
183;36x3;2.44;36;3
184;38x1.2;1.09;38;1.2
185;38x1.4;1.26;38;1.4
186;38x1.5;1.35;38;1.5
187;38x1.6;1.44;38;1.6
188;38x1.8;1.61;38;1.8
189;38x2;1.78;38;2
190;38x2.2;1.94;38;2.2
191;38x2.5;2.19;38;2.5
192;38x2.8;2.43;38;2.8
193;38x3;2.59;38;3
194;40x1.2;1.15;40;1.2
195;40x1.4;1.33;40;1.4
196;40x1.5;1.42;40;1.5
197;40x1.6;1.52;40;1.6
198;40x1.8;1.7;40;1.8
199;40x2;1.87;40;2
200;40x2.2;2.05;40;2.2
201;40x2.5;2.31;40;2.5
202;40x2.8;2.57;40;2.8
203;40x3;2.74;40;3
204;42x1.2;1.21;42;1.2
205;42x1.4;1.4;42;1.4
206;42x1.5;1.5;42;1.5
207;42x1.6;1.59;42;1.6
208;42x1.8;1.78;42;1.8
209;42x2;1.97;42;2
210;42x2.2;2.16;42;2.2
211;42x2.5;2.44;42;2.5
212;42x2.8;2.71;42;2.8
213;42x3;2.89;42;3
214;44.5x1.2;1.28;44.5;1.2
215;44.5x1.4;1.49;44.5;1.4
216;44.5x1.5;1.59;44.5;1.5
217;44.5x1.6;1.69;44.5;1.6
218;44.5x1.8;1.9;44.5;1.8
219;44.5x2;2.1;44.5;2
220;44.5x2.2;2.29;44.5;2.2
221;44.5x2.5;2.59;44.5;2.5
222;44.5x2.8;2.88;44.5;2.8
223;44.5x3;3.07;44.5;3
224;45x1.2;1.3;45;1.2
225;45x1.4;1.51;45;1.4
226;45x1.5;1.61;45;1.5
227;45x1.6;1.71;45;1.6
228;45x1.8;1.92;45;1.8
229;45x2;2.12;45;2
230;45x2.2;2.32;45;2.2
231;45x2.5;2.62;45;2.5
232;45x2.8;2.91;45;2.8
233;45x3;3.11;45;3
234;48x1.4;1.61;48;1.4
235;48x1.5;1.72;48;1.5
236;48x1.6;1.83;48;1.6
237;48x1.8;2.05;48;1.8
238;48x2;2.27;48;2
239;48x2.2;2.48;48;2.2
240;48x2.5;2.81;48;2.5
241;48x2.8;3.12;48;2.8
242;48x3;3.33;48;3
243;48x3.2;3.54;48;3.2
244;48x3.5;3.84;48;3.5
245;48.3x1.4;1.62;48.3;1.4
246;48.3x1.5;1.73;48.3;1.5
247;48.3x1.6;1.84;48.3;1.6
248;48.3x1.8;2.06;48.3;1.8
249;48.3x2;2.28;48.3;2
250;48.3x2.2;2.5;48.3;2.2
251;48.3x2.5;2.82;48.3;2.5
252;48.3x2.8;3.14;48.3;2.8
253;48.3x3;3.35;48.3;3
254;48.3x3.2;3.56;48.3;3.2
255;48.3x3.5;3.87;48.3;3.5
256;51x1.4;1.71;51;1.4
257;51x1.5;1.83;51;1.5
258;51x1.6;1.95;51;1.6
259;51x1.8;2.18;51;1.8
260;51x2;2.42;51;2
261;51x2.2;2.65;51;2.2
262;51x2.5;2.99;51;2.5
263;51x2.8;3.33;51;2.8
264;51x3;3.55;51;3
265;51x3.2;3.77;51;3.2
266;51x3.5;4.1;51;3.5
267;53x1.4;1.78;53;1.4
268;53x1.5;1.91;53;1.5
269;53x1.6;2.03;53;1.6
270;53x1.8;2.27;53;1.8
271;53x2;2.52;53;2
272;53x2.2;2.76;53;2.2
273;53x2.5;3.11;53;2.5
274;53x2.8;3.47;53;2.8
275;53x3;3.7;53;3
276;53x3.2;3.93;53;3.2
277;53x3.5;4.27;53;3.5
278;54x1.4;1.82;54;1.4
279;54x1.5;1.94;54;1.5
280;54x1.6;2.07;54;1.6
281;54x1.8;2.32;54;1.8
282;54x2;2.56;54;2
283;54x2.2;2.81;54;2.2
284;54x2.5;3.18;54;2.5
285;54x2.8;3.54;54;2.8
286;54x3;3.77;54;3
287;54x3.2;4.01;54;3.2
288;54x3.5;4.36;54;3.5
289;57x1.4;1.92;57;1.4
290;57x1.5;2.05;57;1.5
291;57x1.6;2.19;57;1.6
292;57x1.8;2.45;57;1.8
293;57x2;2.71;57;2
294;57x2.2;2.97;57;2.2
295;57x2.5;3.36;57;2.5
296;57x2.8;3.74;57;2.8
297;57x3;4;57;3
298;57x3.2;4.25;57;3.2
299;57x3.5;4.62;57;3.5
300;60x1.4;2.02;60;1.4
301;60x1.5;2.16;60;1.5
302;60x1.6;2.3;60;1.6
303;60x1.8;2.58;60;1.8
304;60x2;2.86;60;2
305;60x2.2;3.14;60;2.2
306;60x2.5;3.54;60;2.5
307;60x2.8;3.95;60;2.8
308;60x3;4.22;60;3
309;60x3.2;4.48;60;3.2
310;60x3.5;4.88;60;3.5
311;60x3.8;5.27;60;3.8
312;63.5x1.4;2.14;63.5;1.4
313;63.5x1.5;2.29;63.5;1.5
314;63.5x1.6;2.44;63.5;1.6
315;63.5x1.8;2.74;63.5;1.8
316;63.5x2;3.03;63.5;2
317;63.5x2.2;3.33;63.5;2.2
318;63.5x2.5;3.76;63.5;2.5
319;63.5x2.8;4.19;63.5;2.8
320;63.5x3;4.48;63.5;3
321;63.5x3.2;4.76;63.5;3.2
