#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r1(mm)	r2(mm)	A(cm2)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	12Л	5	120.000	30.000	3.000	4.800	7.000	3.000	6.390	96.4	135.260	22.540		46.000	5.020	2.240		8.900
2	14Л	6	140.000	32.000	3.200	5.600	7.000	3.000	7.570	114.8	212.940	30.420		53.100	6.550	2.700		9.300
3	16Л	7	160.000	35.000	3.400	5.300	8.000	3.500	9.040	133.4	331.960	41.490		60.600	9.230	3.460		10.100
4	18Л	8	180.000	40.000	3.600	5.600	8.000	3.500	10.810	152.8	503.870	55.980		68.300	14.640	4.100		11.600
5	20Л	10	200.000	45.000	3.800	6.000	9.000	4.000	12.890	170	748.170	74.820		76.200	22.370	6.510		13.200
6	22Л	12	220.000	50.000	4.000	6.400	10.000	4.000	15.110	187.2	1070.970	97.360		84.200	32.850	8.610		14.700
7	24Л	14	240.000	55.000	4.200	6.800	10.000	4.000	17.410	206.4	1476.390	123.030		92.100	46.250	11.040		16.300
8	27Л	16	270.000	60.000	4.500	7.300	11.000	4.500	20.770	233.4	2218.160	164.310		103.300	65.100	14.170		17.700
9	30Л	19	300.000	65.000	4.800	7.800	11.000	5.000	24.300	262.4	3186.740	212.450		114.500	89.080	17.840		19.100
10	CUSTOM
