#	Name	D(mm)	t(mm)	g(kg/m)	A(cm2)	D/t	I(cm4)	r(cm)	Z(cm3)	S(cm3)	J(cm4)	C(cm3)
58	D 219.1	219.1	5.0	26.4	33.6	43.8	1930	7.57	176	229	3860	352
59	D 219.1	219.1	6.0	31.5	40.2	36.5	2280	7.54	208	273	4560	417
60	D 219.1	219.1	8.0	41.6	53.1	27.4	2960	7.47	270	357	5920	540
61	D 219.1	219.1	10.0	51.6	65.7	21.9	3600	7.4	328	438	7200	657
62	D 219.1	219.1	12.0	61.3	78.1	18.3	4200	7.33	383	515	8400	767
63	D 219.1	219.1	12.5	63.7	81.1	17.5	4350	7.32	397	534	8690	793
64	D 219.1	219.1	16.0	80.1	102	13.7	5300	7.2	483	661	10600	967
65	D 244.5	244.5	4.5	26.6	33.9	54.3	2440	8.49	200	259	4890	400
66	D 244.5	244.5	5.0	29.5	37.6	48.9	2700	8.47	221	287	5400	441
67	D 244.5	244.5	6.0	35.3	45	40.8	3200	8.43	262	341	6400	523
68	D 244.5	244.5	8.0	46.7	59.4	30.6	4160	8.37	340	448	8320	681
69	D 244.5	244.5	10.0	57.8	73.7	24.5	5070	8.3	415	550	10200	830
70	D 244.5	244.5	12.0	68.8	87.7	20.4	5940	8.23	486	649	11900	972
71	D 244.5	244.5	12.5	71.5	91.1	19.6	6150	8.21	503	673	12300	1010
72	D 244.5	244.5	16.0	90.2	115	15.3	7530	8.1	616	837	15100	1230
73	D 273	273	4.0	26.5	33.8	68.3	3060	9.51	224	289	6120	448
74	D 273	273	4.5	29.8	38	60.7	3420	9.49	251	324	6840	501
75	D 273	273	5.0	33	42.1	54.6	3780	9.48	277	359	7560	554
76	D 273	273	6.0	39.5	50.3	45.5	4490	9.44	329	428	8970	657
77	D 273	273	8.0	52.3	66.6	34.1	5850	9.37	429	562	11700	857
78	D 273	273	10.0	64.9	82.6	27.3	7150	9.31	524	692	14300	1050
79	D 273	273	12.0	77.2	98.4	22.8	8400	9.24	615	818	16800	1230
80	D 273	273	12.5	80.3	102	21.8	8700	9.22	637	849	17400	1270
81	D 273	273	16.0	101	129	17.1	10700	9.1	784	1060	21400	1570
82	D 323.9	323.9	5.0	39.3	50.1	64.8	6370	11.3	393	509	12700	787
83	D 323.9	323.9	6.0	47	59.9	54	7570	11.2	468	606	15100	935
84	D 323.9	323.9	8.0	62.3	79.4	40.5	9910	11.2	612	799	19800	1220
85	D 323.9	323.9	10.0	77.4	98.6	32.4	12200	11.1	751	986	24300	1500
86	D 323.9	323.9	12.0	92.3	118	27	14300	11	884	1170	28600	1770
87	D 323.9	323.9	12.5	96	122	25.9	14800	11	917	1210	29700	1830
88	D 323.9	323.9	16.0	121	155	20.2	18400	10.9	1140	1520	36800	2270
89	D 355.6	355.6	5.0	43.2	55.1	71.1	8460	12.4	476	615	16900	952
90	D 355.6	355.6	6.0	51.7	65.9	59.3	10100	12.4	566	733	20100	1130
91	D 355.6	355.6	8.0	68.6	87.4	44.5	13200	12.3	742	967	26400	1490
92	D 355.6	355.6	10.0	85.2	109	35.6	16200	12.2	912	1200	32400	1830
93	D 355.6	355.6	12.0	102	130	29.6	19100	12.2	1080	1420	38300	2150
94	D 355.6	355.6	12.5	106	135	28.4	19900	12.1	1120	1470	39700	2230
95	D 355.6	355.6	16.0	134	171	22.2	24700	12	1390	1850	49300	2770
96	D 406.4	406.4	6.0	59.2	75.5	67.7	15100	14.2	745	962	30300	1490
97	D 406.4	406.4	8.0	78.6	100	50.8	19900	14.1	978	1270	39700	1960
98	D 406.4	406.4	10.0	97.8	125	40.6	24500	14	1210	1570	49000	2410
99	D 406.4	406.4	12.0	117	149	33.9	28900	14	1420	1870	57900	2850
100	D 406.4	406.4	12.5	121	155	32.5	30000	13.9	1480	1940	60100	2960
101	D 406.4	406.4	16.0	154	196	25.4	37400	13.8	1840	2440	74900	3690
102	D 457	457	8.0	88.6	113	57.1	28400	15.9	1250	1610	56900	2490
103	D 457	457	10.0	110	140	45.7	35100	15.8	1540	2000	70200	3070
104	D 457	457	12.0	132	168	38.1	41600	15.7	1820	2380	83100	3640
105	D 457	457	12.5	137	175	36.6	43100	15.7	1890	2470	86300	3780
106	D 457	457	16.0	174	222	28.6	54000	15.6	2360	3110	108000	4720
107	D 508	508	8.0	98.6	126	63.5	39300	17.7	1550	2000	78600	3090
108	D 508	508	10.0	123	156	50.8	48500	17.6	1910	2480	97000	3820
109	D 508	508	12.0	147	187	42.3	57500	17.5	2270	2950	115000	4530
110	D 508	508	12.5	153	195	40.6	59800	17.5	2350	3070	120000	4710
111	D 508	508	16.0	194	247	31.8	74900	17.4	2950	3870	150000	5900
112	CUSTOM	1	1	1	1	1	1	1	1	1	1	1
