DN;D;T;R;ves
25;32;2;38;0.1
25;32;2.5;38;0.2
25;32;3;38;0.2
25;32;3.5;38;0.2
32;38;2;48;0.2
32;38;2.5;48;0.2
32;38;3;48;0.2
32;38;3.5;48;0.3
32;38;4;48;0.3
40;45;2.5;60;0.3
40;45;3;60;0.3
40;45;3.5;60;0.4
40;45;4;60;0.4
40;45;5;60;0.5
50;57;2.5;75;0.4
50;57;3;75;0.5
50;57;3.5;75;0.6
50;57;4;75;0.7
50;57;4.5;75;0.7
50;57;5;75;0.8
50;57;5.5;75;0.9
50;57;6;75;1
65;76;3;100;0.8
65;76;3.5;100;1
65;76;4;100;1.1
65;76;4.5;100;1.3
65;76;5;100;1.4
65;76;5.5;100;1.6
65;76;6;100;1.7
65;76;7;100;2
65;76;8;100;2.2
80;89;3;120;1.2
80;89;3.5;120;1.4
80;89;4;120;1.5
80;89;4.5;120;1.7
80;89;5;120;1.9
80;89;5.5;120;2.1
80;89;6;120;2.3
80;89;7;120;2.7
80;89;8;120;3
100;102;3.5;150;2.1
100;102;4;150;2.4
100;102;4.5;150;2.6
100;102;5;150;2.9
100;102;6;150;3.4
100;102;7;150;3.9
100;102;8;150;4.5
100;102;9;150;5
100;102;10;150;5.5
100;108;3.5;150;2.2
100;108;4;150;2.5
100;108;4.5;150;2.8
100;108;5;150;3.1
100;108;6;150;3.6
100;108;7;150;4.1
100;108;8;150;4.7
100;108;9;150;5.3
100;108;10;150;5.8
100;114;3.5;150;2.2
100;114;4;150;2.6
100;114;4.5;150;2.9
100;114;5;150;3.3
100;114;6;150;3.8
100;114;7;150;4.4
100;114;8;150;5
100;114;9;150;5.7
100;114;10;150;6.1
125;133;3.5;190;3.3
125;133;4;190;3.8
125;133;4.5;190;4.3
125;133;5;190;4.8
125;133;6;190;5.7
125;133;7;190;6.5
125;133;8;190;7.4
125;133;9;190;8.2
125;133;10;190;9.1
125;133;11;190;10
125;133;12;190;11
150;159;4;225;5.4
150;159;4.5;225;6.1
150;159;5;225;6.7
150;159;6;225;8.1
150;159;7;225;9.4
150;159;8;225;11
150;159;9;225;12
150;159;10;225;13
150;159;11;225;14
150;159;12;225;16
150;159;13;225;17
150;159;14;225;18
150;168;4;225;5.6
150;168;4.5;225;6.4
150;168;5;225;7.1
150;168;6;225;8.5
150;168;7;225;9.8
150;168;8;225;11.2
150;168;9;225;12.5
150;168;10;225;14
150;168;11;225;15
150;168;12;225;16
150;168;13;225;17.5
150;168;14;225;19
200;219;5;300;13
200;219;6;300;15
200;219;7;300;17
200;219;8;300;20
200;219;9;300;22
200;219;10;300;25
200;219;11;300;27
200;219;12;300;29
200;219;13;300;32
200;219;14;300;34
200;219;15;300;37
200;219;16;300;39
200;219;17;300;42
200;219;18;300;44
250;273;6;375;23
250;273;7;375;27
250;273;8;375;31
250;273;9;375;35
250;273;10;375;39
250;273;11;375;43
250;273;12;375;46
250;273;13;375;50
250;273;14;375;54
250;273;15;375;58
250;273;16;375;61
250;273;17;375;66
250;273;18;375;70
250;273;20;375;78
250;273;22;375;85
300;325;7;450;39
300;325;8;450;45
300;325;9;450;50
300;325;10;450;56
300;325;11;450;61
300;325;12;450;66
300;325;13;450;72
300;325;14;450;77
300;325;15;450;82
300;325;16;450;87
300;325;17;450;92
300;325;18;450;96
300;325;20;450;107
300;325;22;450;118
300;325;24;450;130
300;325;26;450;141
300;325;28;450;150
350;377;9;525;68
350;377;10;525;75
350;377;11;525;83
350;377;12;525;90
350;377;13;525;97
350;377;14;525;104
350;377;15;525;112
350;377;16;525;119
350;377;18;525;133
350;377;20;525;147
350;377;22;525;161
350;377;24;525;175
350;377;26;525;188
350;377;28;525;201
350;377;30;525;214
350;377;32;525;228
400;426;8;600;78
400;426;9;600;87
400;426;10;600;97
400;426;11;600;107
400;426;12;600;117
400;426;13;600;126
400;426;14;600;135
400;426;15;600;145
400;426;16;600;154
400;426;17;600;164
400;426;18;600;173
400;426;20;600;192
400;426;22;600;210
400;426;24;600;230
400;426;26;600;249
400;426;28;600;268
400;426;30;600;286
400;426;32;600;306
400;426;34;600;324
500;530;9;750;138
500;530;10;750;153
500;530;11;750;168
500;530;12;750;183
500;530;13;750;198
500;530;14;750;212
500;530;15;750;227
500;530;16;750;242
500;530;17;750;256
500;530;18;750;270
500;530;20;750;298
500;530;22;750;327
500;530;24;750;356
500;530;26;750;385
500;530;28;750;413
500;530;30;750;440
500;530;32;750;467
500;530;34;750;494
500;530;36;750;520
600;630;9;900;198
600;630;10;900;219
600;630;11;900;245
600;630;12;900;261
600;630;13;900;282
600;630;14;900;302
600;630;15;900;324
600;630;16;900;345
600;630;17;900;366
600;630;18;900;387
600;630;20;900;429
600;630;22;900;471
600;630;24;900;513
600;630;26;900;554
600;630;28;900;595
600;630;30;900;636
600;630;32;900;678
700;720;9;1000;248
700;720;10;1000;275
700;720;11;1000;302
700;720;12;1000;329
700;720;13;1000;356
700;720;14;1000;383
700;720;15;1000;410
700;720;16;1000;436
700;720;17;1000;462
700;720;18;1000;489
700;720;20;1000;542
700;720;22;1000;595
700;720;24;1000;647
700;720;26;1000;698
700;720;28;1000;750
700;720;30;1000;801
700;720;32;1000;852
800;820;9;1200;339
800;820;10;1200;376
800;820;11;1200;413
800;820;12;1200;450
800;820;13;1200;487
800;820;14;1200;524
800;820;15;1200;561
800;820;16;1200;598
800;820;17;1200;636
800;820;18;1200;670
800;820;20;1200;743
800;820;22;1200;815
800;820;24;1200;887
800;820;26;1200;959
800;820;28;1200;1030
800;820;30;1200;1101
800;820;32;1200;1171
