op_DN	op_vid	op_type	op_h	op_h1	op_h2	op_L	op_B	op_S	op_B1	op_l	op_mАsseffect	op_Qy	op_Px (Pz)	op_Px(0.5Pz)
57	КП	А11	100	110	98	170	50	3	0	0	1.3	2.5	5.5	8
57	КП	А12	100	110	0	340	50	3	0	0	2.6	2.5	15	15
57	КП	А21	150	160	148	170	50	3	0	0	1.8	2.5	5.5	8
57	КП	А22	150	160	0	340	50	3	0	0	3.6	2.5	15	15
76	КП	А11	100	107	98	170	50	3	0	0	1.3	3	5.5	8
76	КП	А12	100	107	0	340	50	3	0	0	2.5	3	15	15
76	КП	А21	150	157	148	170	50	3	0	0	2.5	3	5.5	8
76	КП	А22	150	157	0	340	50	3	0	0	1.8	3	15	15
89	КП	А11	100	106	98	170	50	3	0	0	3.5	5	5.5	8
89	КП	А12	100	106	0	340	50	3	0	0	2.2	5	15	15
89	КП	А21	150	156	148	170	50	3	0	0	1.7	5	5.5	8
89	КП	А22	150	156	0	340	50	3	0	0	1.7	5	15	15
108	КП	А11	100	115	95	170	80	3	0	0	3.5	6	10	13
108	КП	А12	100	115	0	340	80	3	0	0	1.5	6	30	45
108	КП	А21	150	165	145	170	80	3	0	0	2.2	6	8	10
108	КП	А22	150	165	0	340	80	3	0	0	4.2	6	25	38
133	КП	А11	100	111	95	170	80	3	0	0	1.5	8	10	13
133	КП	А12	100	111	0	340	80	3	0	0	3	8	30	45
133	КП	А21	150	161	145	170	80	3	0	0	2	8	8	10
133	КП	А22	150	161	0	340	80	3	0	0	4.1	8	25	38
159	КП	А11	100	109	95	170	80	3	0	0	1.5	10	10	13
159	КП	А12	100	109	0	340	80	3	0	0	3	10	30	45
159	КП	А21	150	159	145	170	80	3	0	0	2	10	8	10
159	КП	А22	150	159	0	340	80	3	0	0	4.1	10	25	38
219	КП	А11	100	159	95	170	200	3	0	0	2.7	25	0	0
219	КП	А12	100	159	0	340	200	3	0	0	6.1	25	60	85
219	КП	А13	100	159	95	680	200	3	0	0	11	25	80	110
219	КП	Б12	104	159	0	340	200	3	215	60	7	25	60	85
219	КП	Б13	104	159	95	680	200	3	215	60	11.9	25	80	110
219	КП	А21	150	209	145	170	200	3	0	0	3.4	25	0	0
219	КП	А22	150	209	0	340	200	3	0	0	7.3	25	50	70
219	КП	А23	150	209	145	680	200	3	0	0	13.3	25	70	95
219	КП	Б22	154	209	0	340	200	3	215	60	8.2	25	50	70
219	КП	Б23	154	209	145	680	200	3	215	60	14.2	25	70	95
273	КП	А11	100	140	95	170	200	3	0	0	2.6	25	0	0
273	КП	А12	100	140	0	340	200	3	0	0	7.1	40	60	85
273	КП	А13	100	140	95	680	200	3	0	0	13.3	40	80	110
273	КП	Б12	100	140	0	340	200	3	220	60	8.1	40	60	85
273	КП	Б13	100	140	95	680	200	3	220	60	14.3	40	80	110
