Условный проход;Диаметр;Толщина стенки;Вес;Давление;Суффикс
10;16;1.5;0.115;;
15;20;1.9;0.181;;
20;25;2.3;0.274;;
25;32;2.9;0.443;;
32;40;3.7;0.705;;
40;50;4.6;1.096;;
50;63;5.8;1.74;;
65;75;6.8;2.434;;
80;90;8.2;3.519;;
90;110;10;5.247;;
100;125;11.4;6.794;;
125;140;12.7;8.483;;
150;160;14.6;11.136;;
160;180;16.4;14.076;;
