DN;D;T;R;P;ves
40;45;2.5;60;4;0.3
50;57;3;75;4;0.5
65;76;3.5;100;4;1
80;89;3.5;120;4;1.4
100;108;4;150;4;2.5
125;133;4;190;4;3.8
150;159;6;225;4;8.4
200;219;8;300;4;19.9
250;273;10;375;4;39.4
300;325;10;450;4;54.9
350;377;10;525;4;74.6
400;426;10;600;4;121
500;530;12;500;2.5;130
500;530;10;500;1.6;120
600;630;12;600;2.5;195.5
