Условныйпроход;Диаметр;Толщинастенки;Вес
16;21;3;1.3
20;27;3;1.74
25;34;3;2.25
32;42;3.5;3.26
40;48;3.5;3.76
50;57;3;4.07
65;76;3;5.5
80;89;3;6.47
100;108;3;7.9
125;133;4;12.8
150;159;4;15.6
200;219;4;21.6
250;273;6;40.2
300;325;6;47.9
350;377;6;54.8
400;426;6;62.1
500;530;6;77.6
600;630;8;123.1
700;720;8;140.9
800;820;8;160.8
1000;1020;10;250.2
1200;1220;10;300
1400;1420;10;349
