#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r1(mm)	r2(mm)	A(cm2)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	5П	5	50.000	32.000	4.400	7.000	6.000	3.500	6.160	24	22.800	9.100		19.200	5.950	2.990		9.800
2	6.5П	6	65.000	36.000	4.400	7.200	6.000	3.500	7.510	38.6	48.800	15.000		25.500	9.350	4.060		11.200
3	8П	7	80.000	40.000	4.500	7.400	6.500	3.500	8.980	52.2	89.900	22.500		31.600	13.900	3.310		12.400
4	10П	9	100.000	46.000	4.500	7.600	7.000	4.000	10.900	70.8	175.000	34.900		39.900	22.600	7.370		14.400
5	12П	10	120.000	52.000	4.800	7.800	7.500	4.500	13.300	89.4	305.000	50.800		47.900	34.900	9.840		16.200
6	14П	12	140.000	58.000	4.900	8.100	8.000	4.500	15.600	107.8	493.000	70.400		56.100	51.500	12.900		18.100
7	16П	14	160.000	64.000	5.000	8.400	8.500	5.000	18.100	126.2	750.000	93.800		64.400	72.800	16.400		20.000
8	16aП	15	160.000	68.000	5.000	9.000	8.500	5.000	19.500	125	827.000	103.000		65.100	90.500	19.600		21.500
9	18П	16	180.000	70.000	5.100	8.700	9.000	5.000	20.700	144.6	1090.000	121.000		72.600	100.000	20.600		22.000
10	18aП	17	180.000	74.000	5.100	9.300	9.000	5.000	22.200	143.4	1200.000	133.000		73.400	123.000	24.300		23.500
11	20П	18	200.000	76.000	5.200	9.000	9.500	5.500	23.400	163	1530.000	153.000		80.800	134.000	25.200		23.900
12	22П	21	220.000	82.000	5.400	9.500	10.000	6.000	26.700	181	2120.000	193.000		89.000	178.000	31.000		25.800
13	24П	24	240.000	90.000	5.600	10.000	10.500	6.000	30.600	199	2910.000	243.000		97.500	248.000	39.500		28.500
14	27П	28	270.000	95.000	6.000	10.500	11.000	6.500	35.200	227	4180.000	310.000		109.000	314.000	46.700		29.900
15	30П	32	300.000	100.000	6.500	11.000	12.000	7.000	40.500	254	5830.000	389.000		120.000	393.000	54.800		31.200
16	33П	36	330.000	105.000	7.000	11.700	13.000	7.500	46.500	280.6	8010.798	486.000		131.000	491.000	64.600		32.500
17	36П	42	360.000	110.000	7.500	12.600	14.000	8.500	53.400	306.8	10849.999	603.000		143.000	611.000	76.300		33.800
18	40П	48	400.000	115.000	8.000	13.500	15.000	9.000	61.500	343	15259.998	763.000		158.000	760.000	89.900		35.100
19	CUSTOM
