#-#	Sizes	h(mm)	b(mm)	t(mm)	G(kg/m)	r1(mm)	r2(mm)	A(cm2)	Ix(cm4)	Wex=Wey(cm3)	ix=iy(cm)	Iy(cm4)	Wey(cm3)	iy(cm)	Iu(cm4)	iu(cm)	Iv(cm4)	iv(cm)
69-19	L 120x80	120	80	8	12.2	11	5.5	15.49	225.7	27.63	3.82	80.76	13.17	2.28	260	4.1	46.39	1.73
70	L 120x80	120	80	10	15	11	5.5	19.13	275.5	34.1	3.8	98.11	16.21	2.26	317	4.07	56.6	1.72
71	L 120x80	120	80	12	17.8	11	5.5	22.69	322.8	40.37	3.77	114.3	19.14	2.24	370	7	4.04	66.46
72	L 120x80	120	80	14	0	11	5.5	0	0	0	0	0	0	0	0	0	0	0
73-20	L 130x65	130	65	8	11.8	11	5.5	15.09	262.5	31.1	4.17	44.77	8.72	1.72	278.6	4.3	28.72	1.38
74	L 130x65	130	65	10	14.6	11	5.5	18.63	320.5	38.39	4.15	54.2	10.73	1.71	339.6	4.27	35.02	1.37
75	L 130x65	130	65	12	0	11	5.5	0	0	0	0	0	0	0	0	0	0	0
76-21	L 130x75	130	75	8	0	10.5	5.25	0	0	0	0	0	0	0	0	0	0	0
77	L 130x75	130	75	10	0	10.5	5.25	0	0	0	0	0	0	0	0	0	0	0
78	L 130x75	130	75	12	0	10.5	5.25	0	0	0	0	0	0	0	0	0	0	0
79-22	L 130x90	130	90	10	0	12	6	0	0	0	0	0	0	0	0	0	0	0
80	L 130x90	130	90	12	0	12	6	0	0	0	0	0	0	0	0	0	0	0
81-23	L 150x75	150	75	9	0	10.5	5.25	0	0	0	0	0	0	0	0	0	0	0
82	L 150x75	150	75	11	0	10.5	5.25	0	0	0	0	0	0	0	0	0	0	0
83	L 150x75	150	75	13	0	11	5.5	0	0	0	0	0	0	0	0	0	0	0
84	L 150x75	150	75	15	0	11	5.5	0	0	0	0	0	0	0	0	0	0	0
85-24	L 150x90	150	90	9	0	12	6	0	0	0	0	0	0	0	0	0	0	0
86	L 150x90	150	90	10	18.2	12	6	23.15	533.1	53.29	4.8	146.1	20.98	2.51	591.3	5.05	87.93	1.95
87	L 150x90	150	90	11	19.9	12	6	25.34	580.7	58.3	4.79	158.7	22.91	2.5	643.7	5.04	95.71	1.94
88	L 150x90	150	90	12	0	12.5	6.25	0	0	0	0	0	0	0	0	0	0	0
89	L 150x90	150	90	15	0	13	6.5	0	0	0	0	0	0	0	0	0	0	0
90	L 150x90	150	90	18	0	13	6.5	0	0	0	0	0	0	0	0	0	0	0
91-25	L 150x100	150	100	10	19	13	6.5	24.18	551.7	54.08	4.78	197.8	25.8	2.86	635.9	5.13	113.5	2.17
92	L 150x100	150	100	12	22.6	13	6.5	28.74	649.6	64.23	4.75	231.9	30.58	2.84	747.9	5.1	133.5	2.16
93	L 150x100	150	100	14	26.1	13	6.5	33.22	743.5	74.12	4.73	264.2	35.21	2.82	854.6	5.07	153	2.15
94	L 150x100	150	100	15	0	15	7.5	0	0	0	0	0	0	0	0	0	0	0
95	L 150x100	150	100	18	0	15	7.5	0	0	0	0	0	0	0	0	0	0	0
96-26	L 160x80	160	80	10	18.2	13	6.5	23.18	611.3	58.94	5.14	104.4	16.55	2.12	648.7	5.29	67.01	1.7
97	L 160x80	160	80	12	21.6	13	6.5	27.54	719.5	69.98	5.11	122	19.59	2.1	762.8	5.26	78.77	1.69
98	L 160x80	160	80	14	0	13	6.5	0	0	0	0	0	0	0	0	0	0	0
99-27	L 160x90	180	90	10	0	14	7	0	0	0	0	0	0	0	0	0	0	0
100	L 160x90	180	90	12	0	14	7	0	0	0	0	0	0	0	0	0	0	0
101	L 160x90	180	90	14	0	14	7	0	0	0	0	0	0	0	0	0	0	0
102-28	L 200x100	200	100	10	23	15	7.5	29.24	1219	93.24	6.46	210.3	26.33	2.68	1294	6.65	134.5	2.14
103	L 200x100	200	100	12	25.1	15	7.5	34.8	1440	111	6.43	247.2	31.28	2.67	1529	6.63	158.5	2.13
104	L 200x100	200	100	14	31.6	15	7.5	40.28	1654	128.4	6.41	282.2	36.08	2.65	1755	6.6	181.7	2.12
105	L 200x100	200	100	16	0	15	7.5	0	0	0	0	0	0	0	0	0	0	0
106-29	L 250x90	250	90	10	0	15	7.5	0	0	0	0	0	0	0	0	0	0	0
107	L 250x90	250	90	12	0	15	7.5	0	0	0	0	0	0	0	0	0	0	0
108	L 250x90	250	90	14	0	15	7.5	0	0	0	0	0	0	0	0	0	0	0
109	L 250x90	250	90	16	0	15	7.5	0	0	0	0	0	0	0	0	0	0	0
110-30	CUSTOM
