#	Name	D(mm)	B(mm)	t(mm)	g(kg/m)	A(cm2)	d/t(1)	b/t(1)	Ix(cm4)	Iy(cm4)	ix(cm)	iy(cm)	wex(cm3	wey(cm3	wpx(cm3	wpy(cm3	J(cm4)	C	m2	m2
37	100x50	100	50	6.0	12.3	15.6	11.7	3.33	179	58.7	3.38	1.94	35.8	23.5	46.9	28.5	154	41.4	0.279	22.7
38	100x60	100	60	3.0	7.07	9.01	28.3	15	121	54.6	3.66	2.46	24.1	18.2	29.6	20.8	122	30.6	0.31	43.8
39	100x60	100	60	3.5	8.16	10.4	23.6	12.1	137	61.9	3.63	2.44	27.4	20.6	33.8	23.8	139	34.8	0.308	37.7
40	100x60	100	60	4.0	9.22	11.7	20	10	153	68.7	3.6	2.42	30.5	22.9	37.9	26.6	156	38.7	0.306	33.2
41	100x60	100	60	5.0	11.3	14.4	15	7	181	80.8	3.55	2.37	36.2	26.9	45.6	31.9	188	45.8	0.303	26.8
42	100x60	100	60	6.0	13.2	16.8	11.7	5	205	91.2	3.49	2.33	41.1	30.4	52.5	36.6	216	51.9	0.299	22.7
43	100x80	100	80	3.0	8.01	10.2	28.3	21.7	149	106	3.82	3.22	29.8	26.4	35.4	30.4	196	41.9	0.35	43.7
44	100x80	100	80	4.0	10.5	13.3	20	15	189	134	3.77	3.17	37.9	33.5	45.6	39.2	254	53.4	0.346	33
45	100x80	100	80	5.0	12.8	16.4	15	11	226	160	3.72	3.12	45.2	39.9	55.1	47.2	308	63.7	0.343	26.8
46	120x40	120	40	3.0	7.07	9.01	35	8.33	148	25.8	4.05	1.69	24.7	12.9	32.2	14.6	74.6	23.5	0.31	43.8
47	120x40	120	40	4.0	9.22	11.7	25	5	187	31.9	3.99	1.65	31.1	15.9	41.2	18.5	94.2	29.2	0.306	33.2
48	120x40	120	40	5.0	11.3	14.4	19	3	221	36.9	3.92	1.6	36.8	18.5	49.4	22	111	34.1	0.303	26.8
49	120x60	120	60	3.0	8.01	10.2	35	15	189	64.4	4.3	2.51	31.5	21.5	39.2	24.2	156	37.1	0.35	43.7
50	120x60	120	60	3.5	9.26	11.8	29.3	12.1	216	73.1	4.28	2.49	35.9	24.4	44.9	27.7	179	42.2	0.348	37.6
51	120x60	120	60	4.0	10.5	13.3	25	10	241	81.2	4.25	2.47	40.1	27.1	50.5	31.1	201	47	0.346	33
52	120x60	120	60	5.0	12.8	16.4	19	7	287	96	4.19	2.42	47.8	32	60.9	37.4	242	55.8	0.343	26.8
53	120x60	120	60	6.0	15.1	19.2	15	5	328	109	4.13	2.38	54.7	36.3	70.6	43.1	280	63.6	0.339	22.5
54	120x80	120	80	3.0	8.96	11.4	35	21.7	230	123	4.49	3.29	38.4	30.9	46.2	35	255	50.8	0.39	43.5
55	120x80	120	80	4.0	11.7	14.9	25	15	295	157	4.44	3.24	49.1	39.3	59.8	45.2	331	64.9	0.386	33
56	120x80	120	80	5.0	14.4	18.4	19	11	353	188	4.39	3.2	58.9	46.9	72.4	54.7	402	77.8	0.383	26.6
57	120x80	120	80	6.0	17	21.6	15	8.33	406	215	4.33	3.15	67.7	53.8	84.3	63.5	469	89.4	0.379	22.3
58	120x80	120	80	8.0	21.4	27.2	10	5	476	252	4.18	3.04	79.3	62.9	102	76.9	584	108	0.366	17.1
59	140x80	140	80	3.0	9.9	12.6	41.7	21.7	334	141	5.15	3.35	47.8	35.3	58.2	39.6	317	59.7	0.43	43.4
60	140x80	140	80	4.0	13	16.5	30	15	430	180	5.1	3.3	61.4	45.1	75.5	51.3	412	76.5	0.426	32.8
61	140x80	140	80	5.0	16	20.4	23	11	517	216	5.04	3.26	73.9	54	91.8	62.2	501	91.8	0.423	26.4
62	140x80	140	80	6.0	18.9	24	18.3	8.33	597	248	4.98	3.21	85.3	62	107	72.4	584	106	0.419	22.2
63	140x80	140	80	8.0	23.9	30.4	12.5	5	708	293	4.82	3.1	101	73.3	131	88.4	731	129	0.406	17
64	140x80	140	80	10.0	28.7	36.6	9	3	804	330	4.69	3.01	115	82.6	152	103	851	147	0.397	13.8
65	150x100	150	100	4.0	14.9	18.9	32.5	20	595	319	5.6	4.1	79.3	63.7	95.7	72.5	662	105	0.486	32.6
66	150x100	150	100	5.0	18.3	23.4	25	15	719	384	5.55	4.05	95.9	76.8	117	88.3	809	127	0.483	26.4
67	150x100	150	100	6.0	21.7	27.6	20	11.7	835	444	5.5	4.01	111	88.8	137	103	948	147	0.479	22.1
68	150x100	150	100	8.0	27.7	35.2	13.8	7.5	1010	536	5.35	3.9	134	107	169	128	1210	182	0.466	16.8
69	150x100	150	100	10.0	33.4	42.6	10	5	1160	614	5.22	3.8	155	123	199	150	1430	211	0.457	13.7
70	160x80	160	80	5.0	17.5	22.4	27	11	722	244	5.68	3.3	90.2	61	113	69.7	601	106	0.463	26.5
71	160x80	160	80	6.0	20.7	26.4	21.7	8.33	836	281	5.62	3.26	105	70.2	132	81.3	702	122	0.459	22.2
72	160x80	160	80	8.0	26.4	33.6	15	5	1000	335	5.46	3.16	125	83.7	163	100	882	150	0.446	16.9
