#	Name	D(mm)	t(mm)	g(kg/m)	A(cm2)	d/t(1)	I(cm4)	r(cm)	Z(cm3)	S(cm3)	J(cm4)	C(cm3)	m2	m2
54	160x160	160	4.0	19.3	24.5	35	987	6.34	123	143	1540	185	0.626	32.4
55	160x160	160	5.0	23.8	30.4	27	1200	6.29	150	175	1900	226	0.623	26.2
56	160x160	160	6.0	28.3	36	21.7	1410	6.25	176	206	2240	264	0.619	21.9
57	160x160	160	8.0	36.5	46.4	15	1740	6.12	218	260	2900	334	0.606	16.6
58	160x160	160	10.0	44.4	56.6	11	2050	6.02	256	311	3490	395	0.597	13.4
59	180x180	180	5.0	27	34.4	31	1740	7.11	193	224	2720	290	0.703	26
60	180x180	180	6.0	32.1	40.8	25	2040	7.06	226	264	3220	340	0.699	21.8
61	180x180	180	8.0	41.5	52.8	17.5	2550	6.94	283	336	4190	432	0.686	16.5
62	180x180	180	10.0	50.7	64.6	13	3020	6.84	335	404	5070	515	0.677	13.4
63	180x180	180	12.0	58.5	74.5	10	3320	6.68	369	454	5870	584	0.658	11.2
64	180x180	180	12.5	60.5	77	9.4	3410	6.65	378	467	6050	600	0.656	10.8
65	200x200	200	5.0	30.1	38.4	35	2410	7.93	241	279	3760	362	0.783	26
66	200x200	200	6.0	35.8	45.6	28.3	2830	7.88	283	330	4460	426	0.779	21.8
67	200x200	200	8.0	46.5	59.2	20	3570	7.76	357	421	5820	544	0.766	16.5
68	200x200	200	10.0	57	72.6	15	4250	7.65	425	508	7070	651	0.757	13.3
69	200x200	200	12.0	66	84.1	11.7	4730	7.5	473	576	8230	743	0.738	11.2
70	200x200	200	12.5	68.3	87	11	4860	7.47	486	594	8500	765	0.736	10.8
71	250x250	250	6.0	45.2	57.6	36.7	5670	9.92	454	524	8840	681	0.979	21.7
72	250x250	250	8.0	59.1	75.2	26.3	7230	9.8	578	676	11600	878	0.966	16.3
73	250x250	250	10.0	72.7	92.6	20	8710	9.7	697	822	14200	1060	0.957	13.2
74	250x250	250	12.0	84.8	108	15.8	9860	9.55	789	944	16700	1230	0.938	11.1
75	250x250	250	12.5	88	112	15	10200	9.52	813	975	17300	1270	0.936	10.6
76	300x300	300	8.0	71.6	91.2	32.5	12800	11.8	853	991	20300	1290	1.17	16.3
77	300x300	300	10.0	88.4	113	25	15500	11.7	1030	1210	25000	1570	1.16	13.1
78	300x300	300	12.0	104	132	20	17800	11.6	1180	1400	29500	1830	1.14	11
79	300x300	300	12.5	108	137	19	18300	11.6	1220	1450	30600	1890	1.14	10.6
80	CUSTOM	1	1	1	1	1	1	1	1	1	1	1	1	1
