#-#	Sizes	h=b(mm)	t(mm)	G(kg/m)	r1(mm)	r2(mm)	A(cm2)	Ix=Iy(cm4)	Wex=Wey(cm3)	ix=iy(cm)	Iu(cm4)	iu(cm)	Iv(cm4)	iv(cm)
137	L 180x180	180	14	38.3	18	9	48.79	1493	114.3	5.53	2375	6.98	611.3	3.54
138	L 180x180	180	15	40.9	18	9	52.10	1589	122.0	5.52	2527	6.96	650.5	3.53
139	L 180x180	180	16	43.5	18	9	55.39	1682	129.7	5.51	2676	6.95	689.3	3.53
140	L 180x180	180	17	46.0	18	9	58.66	1775	137.2	5.50	2822	6.94	727.8	3.52
141	L 180x180	180	18	48.6	18	9	61.91	1866	144.7	5.49	2965	6.92	765.9	3.52
142	L 180x180	180	19	51.1	18	9	65.14	1955	152.1	5.48	3106	6.91	803.8	3.51
143	L 180x180	180	20	53.7	18	9	68.35	2043	159.4	5.47	3244	6.89	841.3	3.51
144	L 180x180	180	22	0	18	9	0	0	0	0	0	0	0	0
145-23	L 200x200	200	15	45.6	18	9	58.10	2209	152.2	6.17	3516	7.78	902.9	3.94
146	L 200x200	200	16	48.5	18	9	61.79	2341	161.7	6.16	3726	7.77	957.1	3.94
147	L 200x200	200	17	51.4	18	9	65.46	2472	171.2	6.14	3932	7.75	1011	3.93
148	L 200x200	200	18	54.2	18	9	69.11	2600	180.6	6.13	4135	7.74	1064	3.92
149	L 200x200	200	19	57.1	18	9	72.74	2726	189.9	6.12	4335	7.72	1117	3.92
150	L 200x200	200	20	59.9	18	9	76.35	2851	199.1	6.11	4532	7.7	1169	3.91
151	L 200x200	200	21	62.8	18	9	79.94	2973	208.2	6.10	4725	7.69	1221	3.91
152	L 200x200	200	22	65.6	18	9	83.51	3094	217.3	6.09	4915	7.67	1273	3.90
153	L 200x200	200	23	68.3	18	9	87.06	3213	226.3	6.08	5102	7.66	1324	3.90
154	L 200x200	200	24	71.1	18	9	90.59	3331	235.2	6.06	5286	7.64	1375	3.90
155	L 200x200	200	25	73.9	18	9	94.10	3446	244.0	6.05	5467	7.62	1426	3.89
156	L 200x200	200	26	76.6	18	9	97.59	3560	252.7	6.04	5645	7.61	1476	3.89
157	L 200x200	200	28	0	18	9	0	0	0	0	0	0	0	0
158-24	L 250x250	250	25	93.6	20	10	119	6975	390	7.65	11086	9.64	2864	4.9
159	L 250x250	250	28	104	20	10	133	7697	433	7.62	12226	9.61	3169	4.89
160	L 250x250	250	32	118	20	10	150	8597	488	7.57	13629	9.53	3565	4.87
161	L 250x250	250	35	128	20	10	163	9264	529	7.54	14666	9.48	3862	4.87
162-25	CUSTOM
